user_id,name,email,city,latitude,longitude,company
1,Leanne Graham,Sincere@april.biz,Gwenborough,-37.3159,81.1496,Romaguera-Crona
2,Ervin Howell,Shanna@melissa.tv,Wisokyburgh,-43.9509,-34.4618,Deckow-Crist
3,Clementine Bauch,Nathan@yesenia.net,McKenziehaven,-68.6102,-47.0653,Romaguera-Jacobson
4,Patricia Lebsack,Julianne.OConner@kory.org,South Elvis,29.4572,-164.2990,Robel-Corkery
5,Chelsey Dietrich,Lucio_Hettinger@annie.ca,Roscoeview,-31.8129,62.5342,Keebler LLC
6,Mrs. Dennis Schulist,Karley_Dach@jasper.info,South Christy,-71.4197,71.7478,Considine-Lockman
7,Kurtis Weissnat,Telly.Hoeger@billy.biz,Howemouth,24.8918,21.8984,Johns Group
8,Nicholas Runolfsdottir V,Sherwood@rosamond.me,Aliyaview,-14.3990,-120.7677,Abernathy Group
9,Glenna Reichert,Chaim_McDermott@dana.io,Bartholomebury,24.6463,-168.8889,Yost and Sons
10,Clementina DuBuque,Rey.Padberg@karina.biz,Lebsackbury,-38.2386,57.2232,Hoeger LLC
